,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
870,AstraZeneca,Health Care,Pharmaceuticals,Europe,United Kingdom,82.3,25.7,2.6,55.9,183,#237,$26.2 B,$1.5 B,$57.2 B,$137.7 B
871,Legal & General Group,Financials,Life & Health Insurance,Europe,United Kingdom,20.8,61.2,1.4,596.7,191,#192,$85.2 B,$2.3 B,$735 B,$15.3 B
872,BT Group,Telecommunication Services,Telecommunications services,Europe,United Kingdom,50.0,28.6,3.2,39.9,218,#314,$29.6 B,$2.8 B,$63.3 B,$14.5 B
873,Diageo,Consumer Staples,Beverages,Europe,United Kingdom,77.3,17.7,4.0,40.2,228,#273,$16.8 B,$3.9 B,$42 B,$81 B
874,Rolls-Royce Holdings,Industrials,Aerospace & Defense,Europe,United Kingdom,34.3,24.2,2.1,38.2,281,#920,$21.2 B,$-1.7 B,$42.7 B,$8 B
875,Centrica,Utilities,Natural Gas Utilities,Europe,United Kingdom,27.7,41.5,1.5,38.8,291,#1196,$28.9 B,$-1.3 B,$25.7 B,$2.9 B
876,Old Mutual,Financials,Investment Services,Europe,United Kingdom,16.6,31.0,1.1,229.3,295,#864,$12.2 B,$636 M,$64.5 B,$3.4 B
877,Reckitt Benckiser Group,Consumer Staples,Household/Personal Care,Europe,United Kingdom,58.7,15.2,2.7,25.1,329,#650,$16.4 B,$-4.7 B,$42.6 B,$59.4 B
878,SSE,Utilities,Electric Utilities,Europe,United Kingdom,24.1,47.5,1.2,31.1,336,#636,$9 B,$1.6 B,$25.8 B,$16.3 B
879,WPP,Consumer Discretionary,Advertising,Europe,United Kingdom,27.7,17.2,1.5,41.4,346,#665,$16.9 B,$702 M,$41.5 B,$9.5 B
880,Lloyds Banking Group,Financials,Major Banks,Europe,United Kingdom,89.9,58.6,-1.3,1402.9,391,#115,$64.3 B,$3.1 B,"$1,104.7 B",$28.6 B
881,Royal Bank of Scotland,Financials,Major Banks,Europe,United Kingdom,59.8,38.3,-13.4,1702.4,424,#207,$23.5 B,$4.5 B,$957.8 B,$16.8 B
882,Aon,Financials,Insurance Brokers,Europe,United Kingdom,25.5,11.8,1.1,30.3,455,#485,$11 B,$1.5 B,$29.4 B,$39.9 B
883,Associated British Foods,Consumer Staples,Food Processing,Europe,United Kingdom,36.7,20.8,0.9,16.8,465,#591,$20.3 B,$901 M,$20.5 B,$18.9 B
884,Tesco,Consumer Staples,Food Retail,Europe,United Kingdom,39.5,100.6,-0.5,78.0,465,#254,$82.7 B,$1.2 B,$66.8 B,$29 B
885,Anglo American,Materials,Diversified Metals & Mining,Europe,United Kingdom,35.3,29.3,-0.9,71.2,551,#274,$29.9 B,$3.5 B,$56.2 B,$22 B
886,Compass Group,Consumer Discretionary,Restaurants,Europe,United Kingdom,27.3,27.4,0.7,14.8,553,#505,$31.7 B,$1.4 B,$16.4 B,$26.8 B
887,J Sainsbury,Consumer Staples,Food Retail,Europe,United Kingdom,9.8,37.2,1.0,20.9,559,#1058,$37 B,$165 M,$35.7 B,$5.5 B
888,Kingfisher,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,17.0,17.4,1.1,16.1,569,#1642,$14.9 B,$233 M,$15.2 B,$4.2 B
889,Liberty Global,Consumer Discretionary,Broadcasting & Cable,Europe,United Kingdom,32.1,14.5,-1.0,67.7,621,#880,$11.5 B,$-795 M,$49 B,$12.3 B
890,BAE Systems,Industrials,Aerospace & Defense,Europe,United Kingdom,21.8,26.4,0.3,33.0,654,#389,$23.4 B,$1.9 B,$34.5 B,$20.6 B
891,Marks & Spencer,Consumer Discretionary,Department Stores,Europe,United Kingdom,12.5,15.9,0.8,12.5,721,#1944,$13.1 B,$75 M,$12.1 B,$2.3 B
892,International Airlines,Industrials,Airline,Europe,United Kingdom,14.3,24.7,0.2,28.6,773,#624,$28.6 B,$1.9 B,$40 B,$5.6 B
893,Phoenix Group Holdings,Financials,Life & Health Insurance,Europe,United Kingdom,2.6,6.9,0.6,124.0,924,#826,$37.1 B,$79 M,$311.6 B,$5.5 B
894,Investec,Financials,Investment Services,Europe,United Kingdom,6.8,5.4,0.5,77.0,939,#1107,$5.8 B,$647 M,$73.6 B,$2 B
895,RSA Insurance Group,Financials,Property & Casualty Insurance,Europe,United Kingdom,8.7,14.5,-0.5,33.0,944,#1420,$8.8 B,$440 M,$23.4 B,$4.7 B
896,Johnson Matthey,Materials,Diversified Chemicals,Europe,United Kingdom,11.2,19.1,0.5,6.0,960,#1561,$13.3 B,$491 M,$8 B,$4.9 B
897,Antofagasta,Materials,Diversified Metals & Mining,Europe,United Kingdom,13.8,6.0,0.7,12.4,970,#1557,$5 B,$500 M,$14.6 B,$10.1 B
898,Schroders,Financials,Investment Services,Europe,United Kingdom,12.5,2.8,0.6,27.5,981,#1188,$3.3 B,$630 M,$28.2 B,$9.2 B
899,Wm Morrison Supermarkets,Consumer Staples,Food Retail,Europe,United Kingdom,8.2,27.7,-0.4,17.6,987,#1270,$22.4 B,$445 M,$14.4 B,$5.5 B
900,Next,Consumer Discretionary,Apparel/Footwear Retail,Europe,United Kingdom,17.2,5.9,0.9,3.5,1002,#1564,$5.4 B,$779 M,$4.8 B,$7.6 B
901,United Utilities,Utilities,Diversified Utilities,Europe,United Kingdom,9.1,2.6,1.1,16.8,1055,#1876,$2.3 B,$395 M,$17.4 B,$7.8 B
902,London Stock Exchange,Financials,Investment Services,Europe,United Kingdom,9.0,1.4,0.3,913.6,1107,#670,$3 B,$532 M,"$1,064.6 B",$33 B
903,Mondi,Materials,Paper & Paper Products,Europe,United Kingdom,8.4,8.6,0.5,8.6,1211,#1189,$8.1 B,$908 M,$9.6 B,$8.6 B
904,Smith & Nephew,Health Care,Medical Equipment & Supplies,Europe,United Kingdom,13.7,4.3,0.6,5.8,1360,#1323,$5.1 B,$600 M,$9.3 B,$17.2 B
905,Bunzl,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,8.9,9.5,0.3,5.3,1377,#1422,$11.9 B,$446 M,$7.9 B,$7.3 B
906,Inchcape,Consumer Discretionary,Specialty Stores,Europe,United Kingdom,5.1,10.2,0.3,5.6,1811,#1764,$12 B,$412 M,$5.9 B,$2.5 B
907,JPMorgan Chase,Financials,Major Banks,North America,United States,229.7,105.7,17.3,2435.3,4,#3,$142.9 B,$30 B,"$3,139.4 B",$291.7 B
908,Berkshire Hathaway,Financials,Investment Services,North America,United States,309.1,178.8,19.5,493.4,5,#4,$254.6 B,$81.4 B,$817.7 B,$455.4 B
909,General Electric,Industrials,Conglomerates,North America,United States,259.6,143.3,14.8,656.6,7,#53,$99.9 B,$6.3 B,$262 B,$59.5 B
910,Wells Fargo,Financials,Major Banks,North America,United States,261.4,88.7,21.9,1543.0,8,#17,$98.9 B,$14.3 B,"$1,981.3 B",$118.8 B
911,Bank of America,Financials,Major Banks,North America,United States,183.3,101.5,11.4,2113.8,13,#8,$112.1 B,$24.1 B,"$2,620 B",$208.6 B
912,Apple,Information Technology,Computer Hardware,North America,United States,483.1,173.8,37.0,225.2,15,#9,$267.7 B,$57.2 B,$320.4 B,"$1,285.5 B"
913,Citigroup,Financials,Major Banks,North America,United States,145.1,94.1,13.4,1883.4,16,#18,$104.4 B,$17.1 B,"$2,219.8 B",$101.1 B
914,Chevron,Energy,Oil & Gas Operations,North America,United States,227.2,211.8,21.4,253.8,18,#61,$140.1 B,$2.9 B,$237.4 B,$171.8 B
915,AT&T,Telecommunication Services,Telecommunications services,North America,United States,182.7,128.8,18.2,277.8,23,#11,$179.2 B,$14.4 B,$545.4 B,$218.6 B
916,Verizon Communications,Telecommunication Services,Telecommunications services,North America,United States,197.7,120.6,11.5,274.1,26,#20,$131.4 B,$18.4 B,$294.5 B,$237.7 B
917,Microsoft,Information Technology,Software & Programming,North America,United States,343.8,83.3,22.8,153.5,32,#13,$138.6 B,$46.3 B,$285.4 B,"$1,359 B"
918,IBM,Information Technology,Computer Services,North America,United States,202.5,99.8,16.5,126.2,35,#51,$76.5 B,$9 B,$153.4 B,$111.5 B
919,Procter & Gamble,Consumer Staples,Household/Personal Care,North America,United States,217.8,84.7,10.9,142.9,40,#71,$70.3 B,$5 B,$118.6 B,$291.8 B
920,Johnson & Johnson,Health Care,Medical Equipment & Supplies,North America,United States,277.0,71.3,13.8,132.7,41,#34,$82.8 B,$17.2 B,$155 B,$395.3 B
921,American International Group,Financials,Diversified Insurance,North America,United States,73.2,68.1,9.1,540.7,42,#155,$50.1 B,$3.3 B,$525.1 B,$21.9 B
922,Pfizer,Health Care,Pharmaceuticals,North America,United States,203.9,52.7,22.0,172.1,45,#49,$50.7 B,$15.8 B,$167.5 B,$212.8 B
923,Ford Motor,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,64.5,146.9,7.2,202.0,47,#486,$149.9 B,$-3.1 B,$264.2 B,$20.2 B
924,Comcast,Consumer Discretionary,Broadcasting & Cable,North America,United States,130.0,64.7,6.8,158.8,57,#27,$108.7 B,$11.7 B,$262.4 B,$171.7 B
925,Goldman Sachs Group,Financials,Investment Services,North America,United States,75.1,39.5,8.0,911.5,59,#47,$53.9 B,$7.4 B,"$1,090 B",$63.4 B
926,General Motors,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,54.6,155.4,5.3,166.3,67,#89,$137.2 B,$6.7 B,$228 B,$31.9 B
927,MetLife,Financials,Diversified Insurance,North America,United States,60.0,71.0,3.4,885.3,69,#80,$69 B,$5.9 B,$746.3 B,$32.8 B
928,ConocoPhillips,Energy,Oil & Gas Operations,North America,United States,86.3,55.6,9.2,118.1,76,#201,$29.5 B,$3.6 B,$65 B,$45.3 B
929,Intel,Information Technology,Semiconductors,North America,United States,129.2,52.7,9.6,92.4,78,#38,$75.7 B,$22.7 B,$147.7 B,$254 B
930,Coca-Cola,Consumer Staples,Beverages,North America,United States,168.7,46.3,8.5,91.3,81,#96,$37.2 B,$10 B,$94 B,$197.1 B
931,Cisco Systems,Information Technology,Communications Equipment,North America,United States,119.0,47.9,8.2,98.4,82,#82,$51.6 B,$11.1 B,$90.4 B,$179.7 B
932,Boeing,Industrials,Aerospace & Defense,North America,United States,95.3,86.6,4.6,92.7,84,#413,$70.6 B,$-3.4 B,$143.1 B,$79.6 B
933,UnitedHealth Group,Health Care,Managed Health Care,North America,United States,81.0,122.5,5.6,81.9,84,#24,$246.3 B,$13.8 B,$189.1 B,$277.1 B
934,PepsiCo,Consumer Staples,Beverages,North America,United States,126.2,66.4,6.7,77.5,93,#87,$68.2 B,$7.2 B,$85.1 B,$183.6 B
935,Oracle,Information Technology,Software & Programming,North America,United States,185.0,37.9,11.1,86.6,94,#94,$39.8 B,$10.8 B,$96.7 B,$167 B
936,Walt Disney,Consumer Discretionary,Broadcasting & Cable,North America,United States,142.9,46.0,6.6,83.2,100,#36,$74.8 B,$10.4 B,$200.9 B,$195.3 B
937,American Express,Financials,Consumer Financial Services,North America,United States,96.9,34.9,5.3,155.9,104,#88,$46.8 B,$5.5 B,$186.1 B,$73.5 B
938,Morgan Stanley,Financials,Investment Services,North America,United States,61.7,40.8,2.8,832.7,106,#48,$53 B,$8.3 B,$896.8 B,$62.1 B
939,Schlumberger,Energy,Oil Services & Equipment,North America,United States,128.0,45.4,6.7,67.1,117,#630,$32.5 B,$-17.9 B,$48.6 B,$23.3 B
940,Caterpillar,Industrials,Heavy Equipment,North America,United States,63.7,55.7,3.8,84.9,122,#132,$51 B,$5.3 B,$75.9 B,$63 B
941,US Bancorp,Financials,Major Banks,North America,United States,78.2,20.2,5.8,364.0,125,#103,$25.9 B,$6.4 B,$542.9 B,$55.5 B
942,Home Depot,Consumer Discretionary,Home Improvement Retail,North America,United States,109.7,78.8,5.4,40.5,137,#106,$110.2 B,$11.2 B,$51.2 B,$236.1 B
943,Phillips 66,Energy,Oil & Gas Operations,North America,United States,46.8,157.9,3.7,51.0,140,#186,$107.4 B,$3.1 B,$58.7 B,$32 B
944,Capital One Financial,Financials,Consumer Financial Services,North America,United States,44.0,24.2,4.1,298.5,141,#161,$31.1 B,$2.8 B,$396.9 B,$29.5 B
945,Occidental Petroleum,Energy,Oil & Gas Operations,North America,United States,75.0,24.4,5.9,70.9,151,#669,$18.5 B,$-672 M,$113 B,$14.9 B
946,Qualcomm,Information Technology,Semiconductors,North America,United States,135.5,25.5,6.8,46.3,154,#258,$24.7 B,$4 B,$31.9 B,$88.5 B
947,Philip Morris International,Consumer Staples,Tobacco,North America,United States,130.3,30.9,8.6,38.2,157,#203,$30.2 B,$7.6 B,$37.5 B,$116.2 B
948,Honeywell International,Industrials,Conglomerates,North America,United States,72.9,39.1,3.9,45.4,158,#153,$36.7 B,$6.1 B,$58.7 B,$100.4 B
949,United Parcel Service,Industrials,Air Courier,North America,United States,89.6,55.5,4.4,36.2,160,#143,$74.8 B,$4.3 B,$57.9 B,$81.3 B
950,PNC Financial Services,Financials,Regional Banks,North America,United States,46.6,16.5,4.2,324.1,162,#139,$21.5 B,$5 B,$445.5 B,$45.2 B
951,Duke Energy,Utilities,Electric Utilities,North America,United States,49.9,24.6,2.7,114.8,165,#144,$25.1 B,$3.7 B,$163.6 B,$62.1 B
952,Delta Air Lines,Industrials,Airline,North America,United States,30.4,37.7,10.5,59.4,166,#263,$45.1 B,$3.5 B,$68.7 B,$16.5 B
953,Amgen,Health Care,Biotechs,North America,United States,95.2,18.7,5.1,66.1,170,#162,$23.9 B,$7.7 B,$61.7 B,$140.6 B
954,Valero Energy,Energy,Oil & Gas Operations,North America,United States,29.6,138.1,2.7,47.3,179,#493,$106.1 B,$422 M,$47.7 B,$25.8 B
955,Union Pacific,Industrials,Railroads,North America,United States,85.8,22.0,4.4,49.7,185,#183,$21.6 B,$6 B,$62.2 B,$108.4 B
956,McDonald's,Consumer Discretionary,Restaurants,North America,United States,96.9,28.1,5.6,36.6,186,#209,$20.8 B,$5.8 B,$47.5 B,$139.5 B
957,Aflac,Financials,Life & Health Insurance,North America,United States,28.8,24.1,3.2,124.3,188,#217,$22 B,$2.9 B,$151.6 B,$26.9 B
958,3M,Industrials,Conglomerates,North America,United States,89.8,30.9,4.7,33.6,194,#195,$32.3 B,$5 B,$46.2 B,$87.4 B
959,Allstate,Financials,Diversified Insurance,North America,United States,25.3,34.2,2.3,123.5,195,#147,$44.3 B,$4.8 B,$121.1 B,$32.2 B
960,Lockheed Martin,Industrials,Aerospace & Defense,North America,United States,52.3,45.4,3.0,36.2,198,#145,$61.1 B,$6.2 B,$49.2 B,$109.1 B
961,Target,Consumer Discretionary,Discount Stores,North America,United States,38.4,72.6,2.0,44.6,200,#196,$78.1 B,$3.3 B,$42.8 B,$54.9 B
962,Bank of New York Mellon,Financials,Major Banks,North America,United States,40.3,15.1,2.1,374.3,214,#159,$20.8 B,$4.5 B,$468.2 B,$33.2 B
963,Costco Wholesale,Consumer Discretionary,Discount Stores,North America,United States,49.2,107.9,2.0,31.6,217,#142,$158.4 B,$3.8 B,$48.8 B,$133.8 B
964,Abbott Laboratories,Health Care,Pharmaceuticals,North America,United States,59.4,21.8,2.6,43.0,229,#158,$32.1 B,$3.5 B,$66.8 B,$162.9 B
965,Altria Group,Consumer Staples,Tobacco,North America,United States,74.5,17.7,4.5,34.9,239,#579,$20.5 B,$-880 M,$52.6 B,$72.9 B
966,BlackRock,Financials,Investment Services,North America,United States,53.1,10.4,2.9,220.6,240,#177,$15.1 B,$4.2 B,$168.6 B,$77.9 B
967,Exelon,Utilities,Electric Utilities,North America,United States,28.7,24.6,1.7,79.9,241,#169,$33.8 B,$2.9 B,$125 B,$36.1 B
968,Archer Daniels Midland,Consumer Staples,Food Processing,North America,United States,28.5,89.7,1.3,43.8,243,#311,$64.4 B,$1.5 B,$44 B,$20.7 B
969,McKesson,Health Care,Pharmaceuticals,North America,United States,40.5,130.1,1.2,36.5,243,#535,$224.9 B,$-917 M,$60.9 B,$25 B
970,Hess,Energy,Oil & Gas Operations,North America,United States,27.3,22.2,5.1,42.8,246,#1253,$6.5 B,$-408 M,$21.8 B,$14.9 B
971,eBay,Consumer Discretionary,Internet & Catalog Retail,North America,United States,71.0,16.0,2.9,41.5,250,#515,$10.5 B,$4.7 B,$18.9 B,$31.7 B
972,General Dynamics,Industrials,Aerospace & Defense,North America,United States,37.7,31.2,2.4,35.4,253,#214,$38.8 B,$3.4 B,$53.7 B,$37.5 B
973,AbbVie,Health Care,Pharmaceuticals,North America,United States,82.8,18.8,4.1,29.2,254,#119,$33.3 B,$7.8 B,$89.1 B,$121.4 B
974,Medtronic,Health Care,Medical Equipment & Supplies,North America,United States,61.7,16.9,3.6,37.2,255,#129,$31.1 B,$5.3 B,$92.8 B,$130.8 B
975,Bristol-Myers Squibb,Health Care,Pharmaceuticals,North America,United States,85.9,16.4,2.6,38.6,257,#138,$26.1 B,$3.4 B,$129.9 B,$137.6 B
976,FedEx,Industrials,Air Courier,North America,United States,39.6,45.2,1.7,32.7,261,#513,$69.7 B,$-350 M,$70 B,$33.1 B
977,Halliburton,Energy,Oil Services & Equipment,North America,United States,50.7,29.4,2.1,29.2,268,#1010,$21.7 B,$-2.3 B,$23.6 B,$9.2 B
978,Danaher,Industrials,Conglomerates,North America,United States,52.6,19.1,2.7,34.7,269,#226,$19.9 B,$2.6 B,$62.1 B,$113.9 B
979,Marathon Petroleum,Energy,Oil & Gas Operations,North America,United States,26.2,93.9,2.1,28.4,271,#197,$123.4 B,$2.6 B,$98.6 B,$20.9 B
980,NextEra Energy,Utilities,Electric Utilities,North America,United States,40.9,14.6,1.9,69.3,276,#180,$17.2 B,$3.5 B,$120.6 B,$113.1 B
981,Visa,Financials,Consumer Financial Services,North America,United States,136.0,12.1,5.1,36.2,280,#141,$23.5 B,$11.9 B,$74.8 B,$383.9 B
982,Cigna,Health Care,Managed Health Care,North America,United States,22.5,32.4,1.5,55.5,286,#63,$154.5 B,$4.9 B,$157 B,$72.8 B
983,State Street,Financials,Investment Services,North America,United States,30.0,9.7,2.1,243.3,307,#295,$12.3 B,$2.4 B,$362.5 B,$22.2 B
984,Kroger,Consumer Staples,Food Retail,North America,United States,22.2,98.5,1.5,29.3,309,#266,$122.3 B,$1.7 B,$47.9 B,$25.2 B
985,Emerson Electric,Industrials,Electrical Equipment,North America,United States,47.3,24.7,2.0,24.1,314,#429,$18 B,$2.2 B,$21.7 B,$34.1 B
986,Kinder Morgan,Energy,Oil Services & Equipment,North America,United States,33.9,14.1,1.2,75.2,323,#350,$12.8 B,$1.3 B,$73.5 B,$34.4 B
987,EOG Resources,Energy,Oil & Gas Operations,North America,United States,54.1,14.5,2.2,30.6,331,#337,$17.6 B,$2.7 B,$37.1 B,$27.7 B
988,Chubb,Financials,Property & Casualty Insurance,North America,United States,21.8,13.9,2.3,52.7,338,#134,$34 B,$3.7 B,$173.1 B,$48.8 B
989,American Electric,Utilities,Electric Utilities,North America,United States,24.6,15.3,1.5,56.4,341,#289,$15.5 B,$1.9 B,$79.1 B,$41.1 B
990,Northrop Grumman,Industrials,Aerospace & Defense,North America,United States,26.9,24.7,2.0,26.4,345,#241,$34.3 B,$2.3 B,$43.2 B,$55.1 B
991,Discover Financial Services,Financials,Consumer Financial Services,North America,United States,27.8,9.2,2.5,79.6,349,#379,$14.1 B,$2.2 B,$112.7 B,$13.1 B
992,Fannie Mae,Financials,Investment Services,North America,United States,4.6,122.9,84.0,3270.1,355,#328,$122.8 B,$14.2 B,"$3,503.3 B",$2 B
993,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,North America,United States,67.2,13.8,2.3,22.7,357,#500,$11.9 B,$2.1 B,$21.2 B,$36.7 B
994,Baxter International,Health Care,Medical Equipment & Supplies,North America,United States,39.9,15.3,2.0,25.9,358,#588,$11.5 B,$1 B,$19.1 B,$45 B
995,Ameriprise Financial,Financials,Investment Services,North America,United States,21.3,11.2,1.3,144.6,362,#353,$14.4 B,$1.9 B,$151.8 B,$14.1 B
996,International Paper,Materials,Paper & Paper Products,North America,United States,20.1,29.1,1.4,31.5,363,#605,$22.1 B,$660 M,$33.2 B,$13.5 B
997,Gilead Sciences,Health Care,Biotechs,North America,United States,113.2,11.2,3.1,22.5,364,#186,$22.6 B,$5 B,$59.7 B,$105.8 B
998,Kimberly-Clark,Consumer Staples,Household/Personal Care,North America,United States,41.5,21.2,2.1,18.9,366,#475,$18.8 B,$2.4 B,$15.7 B,$47.2 B
999,Marathon Oil,Energy,Oil & Gas Operations,North America,United States,24.5,14.8,1.8,35.8,373,#1900,$5.1 B,$480 M,$20.2 B,$4.8 B
1000,Carnival,Consumer Discretionary,Hotels & Motels,North America,United States,31.0,15.5,1.1,40.1,375,#468,$20.9 B,$1.9 B,$46.9 B,$10.9 B
1001,Freddie Mac,Financials,Investment Services,North America,United States,2.6,62.2,48.7,1981.8,377,#340,$79.3 B,$7.2 B,"$2,203.6 B",$1.1 B
1002,General Mills,Consumer Staples,Food Processing,North America,United States,31.8,18.0,1.8,22.9,379,#373,$16.8 B,$2.1 B,$30.2 B,$36.3 B
1003,Thermo Fisher Scientific,,Precision Healthcare Equipment,North America,United States,47.8,13.1,1.3,31.9,383,#184,$25.6 B,$3.7 B,$58.7 B,$132.2 B
1004,CSX,Industrials,Railroads,North America,United States,29.3,12.0,1.9,31.8,394,#332,$11.8 B,$3.3 B,$38.8 B,$50.7 B
1005,Norfolk Southern,Industrials,Railroads,North America,United States,30.4,11.2,1.9,32.9,395,#388,$11.1 B,$2.4 B,$37.4 B,$43.8 B
1006,Lincoln National,Financials,Life & Health Insurance,North America,United States,13.4,12.2,1.2,239.0,396,#560,$17.2 B,$885 M,$335.9 B,$6.9 B
1007,Macy's,Consumer Discretionary,Department Stores,North America,United States,21.7,27.9,1.5,21.6,397,#1000,$25.3 B,$564 M,$22.6 B,$1.8 B
1008,PG&E,Utilities,Electric Utilities,North America,United States,19.4,15.6,0.8,57.3,413,#987,$17.1 B,$-7.6 B,$94 B,$5.6 B
1009,Illinois Tool Works,Industrials,Other Industrial Equipment,North America,United States,34.9,15.4,1.7,20.0,415,#511,$14.1 B,$2.5 B,$15.1 B,$51.6 B
1010,Humana,Health Care,Managed Health Care,North America,United States,17.5,41.3,1.2,21.3,418,#235,$67.7 B,$2.6 B,$34.6 B,$50.5 B
1011,Texas Instruments,Information Technology,Semiconductors,North America,United States,51.4,12.2,2.1,18.9,421,#416,$14.1 B,$4.9 B,$17.3 B,$106.5 B
1012,Colgate-Palmolive,Consumer Staples,Household/Personal Care,North America,United States,59.0,17.4,2.2,13.9,423,#494,$15.7 B,$2.4 B,$15 B,$60.3 B
1013,PPL,Utilities,Electric Utilities,North America,United States,20.7,11.9,1.1,46.3,430,#557,$7.8 B,$1.7 B,$45.7 B,$19.5 B
1014,Prudential Financial,Financials,Life & Health Insurance,North America,United States,39.7,48.7,-0.7,731.8,433,#116,$64.9 B,$4.1 B,$896.6 B,$24.7 B
1015,Edison International,Utilities,Electric Utilities,North America,United States,18.4,12.6,1.0,46.6,438,#436,$12.3 B,$1.3 B,$64.4 B,$21.3 B
1016,Chesapeake Energy,Energy,Oil & Gas Operations,North America,United States,17.4,17.8,0.7,41.8,451,#1983,$8.6 B,$-308 M,$16.2 B,$171 M
1017,Paccar,Industrials,Heavy Equipment,North America,United States,24.0,17.1,1.2,20.7,454,#382,$24.3 B,$2.1 B,$27.3 B,$23.9 B
1018,Xerox,Industrials,Business Products & Supplies,North America,United States,13.6,21.6,1.2,29.0,456,#1507,$8.8 B,$589 M,$14.8 B,$3.9 B
1019,Loews,Financials,Diversified Insurance,North America,United States,17.2,14.7,0.6,79.9,459,#552,$14.8 B,$932 M,$82.2 B,$9.8 B
1020,TJX Cos,Consumer Discretionary,Department Stores,North America,United States,43.5,27.4,2.1,10.2,463,#293,$41.7 B,$3.3 B,$24.1 B,$59.5 B
1021,Charles Schwab,Financials,Investment Services,North America,United States,35.6,5.5,1.1,143.9,464,#224,$11.5 B,$3.5 B,$370.8 B,$48.6 B
1022,Principal Financial Group,Financials,Life & Health Insurance,North America,United States,13.9,9.5,0.9,208.2,465,#436,$17.1 B,$1.3 B,$246.9 B,$10 B
1023,Sempra Energy,Utilities,Natural Gas Utilities,North America,United States,23.6,10.6,1.0,37.2,472,#338,$10.8 B,$2.2 B,$65.7 B,$36.2 B
1024,Corning,Information Technology,Communications Equipment,North America,United States,29.2,7.8,2.0,28.5,482,#878,$11.1 B,$365 M,$28.9 B,$16.7 B
1025,Consolidated Edison,Utilities,Electric Utilities,North America,United States,15.6,12.3,1.1,40.6,486,#409,$12.5 B,$1.3 B,$58.1 B,$26.3 B
1026,Micron Technology,Information Technology,Semiconductors,North America,United States,25.9,11.3,1.8,19.8,488,#277,$19.6 B,$2.3 B,$49.6 B,$53.3 B
1027,Progressive,Financials,Property & Casualty Insurance,North America,United States,14.3,18.2,1.2,25.2,490,#198,$39.1 B,$3.6 B,$56.3 B,$45.2 B
1028,Cummins,Industrials,Heavy Equipment,North America,United States,27.4,17.3,1.5,14.7,496,#457,$22.6 B,$2.1 B,$20.1 B,$24.1 B
1029,Ecolab,Materials,Specialized Chemicals,North America,United States,32.7,13.3,1.0,19.6,499,#455,$15 B,$1.5 B,$22.3 B,$56 B
1030,Kellogg,Consumer Staples,Food Processing,North America,United States,22.5,14.8,1.8,15.5,508,#635,$13.5 B,$1 B,$18.2 B,$22.4 B
1031,Facebook,Information Technology,Computer Services,North America,United States,159.7,7.9,1.5,17.9,510,#39,$73.4 B,$21 B,$138.4 B,$583.7 B
1032,Sysco,Consumer Staples,Food Retail,North America,United States,21.1,45.5,1.0,13.0,518,#391,$60.5 B,$1.8 B,$19.4 B,$28.6 B
1033,DISH Network,Consumer Discretionary,Broadcasting & Cable,North America,United States,29.3,13.9,0.8,20.4,520,#575,$12.8 B,$1.4 B,$33.6 B,$13.1 B
1034,Omnicom Group,Consumer Discretionary,Advertising,North America,United States,18.7,14.6,1.0,22.1,525,#626,$14.9 B,$1.3 B,$23.7 B,$12.2 B
1035,Cardinal Health,Health Care,Pharmaceuticals,North America,United States,23.9,96.7,0.4,25.0,526,#661,$149.7 B,$-4.2 B,$41 B,$14.4 B
1036,Marsh & McLennan,Financials,Insurance Brokers,North America,United States,27.2,12.3,1.4,17.0,531,#352,$17.2 B,$1.8 B,$31.4 B,$49.2 B
1037,Xcel Energy,Utilities,Electric Utilities,North America,United States,15.1,10.9,0.9,33.9,558,#407,$11.5 B,$1.4 B,$52.7 B,$33.4 B
1038,Franklin Resources,Financials,Investment Services,North America,United States,34.3,8.2,2.2,15.9,561,#1200,$5.5 B,$971 M,$14.7 B,$9.4 B
1039,Hartford Financial Services,Financials,Diversified Insurance,North America,United States,15.9,26.4,0.3,279.6,568,#385,$20.5 B,$1.7 B,$68.7 B,$13.6 B
1040,Simon Property Group,Financials,Real Estate,North America,United States,51.8,5.2,1.3,33.3,571,#668,$5.7 B,$2.1 B,$31.2 B,$20.4 B
1041,Regions Financial,Financials,Regional Banks,North America,United States,16.0,5.6,1.1,118.1,573,#641,$6.5 B,$1.4 B,$133.5 B,$10.3 B
1042,Southwest Airlines,Industrials,Airline,North America,United States,16.8,17.7,0.8,19.3,575,#482,$21.5 B,$1.8 B,$26.9 B,$15.9 B
1043,Western Digital,Information Technology,Computer Storage Devices,North America,United States,22.1,15.3,1.0,15.3,576,#918,$16.1 B,$-595 M,$25.5 B,$13.8 B
1044,Air Products & Chemicals,Materials,Specialized Chemicals,North America,United States,25.4,10.2,1.0,17.9,587,#554,$9 B,$2 B,$19.5 B,$49.8 B
1045,Entergy,Utilities,Electric Utilities,North America,United States,12.0,11.4,0.7,43.4,590,#506,$10.8 B,$1.3 B,$51.7 B,$19.2 B
